"","Kanal 1 Durchschn. (V)","Kanal 4 Durchschn. (V)"
"903","0,002103","0,001395"
"904","0,001893","0,001119"
"905","0,002187","0,001395"
"906","0,002776","0,001832"
"907","0,002082","0,001308"
"908","0,002103","0,001425"
"909","0,002650","0,001526"
"910","0,002422","0,001450"
"911","0,001935","0,001343"
"912","0,001935","0,001323"
"913","0,002271","0,001657"
"914","0,002187","0,001395"
"915","0,001817","0,001587"
"916","0,002103","0,001308"
"917","0,002555","0,001308"
"918","0,002163","0,001221"
"919","0,001766","0,001221"
"920","0,002523","0,001483"
"921","0,002103","0,001483"
"922","0,001838","0,001323"
"923","0,002082","0,001308"
"924","0,002744","0,001832"
"925","0,002103","0,001323"
"926","0,002082","0,001465"
"927","0,002460","0,001570"
"928","0,002366","0,001526"
"929","0,001987","0,001099"
"930","0,001987","0,001221"
"931","0,002650","0,001657"
"932","0,002187","0,001221"
"933","0,002163","0,001679"
"934","0,001987","0,001395"
"935","0,002650","0,001657"
"936","0,002019","0,001323"
"937","0,002082","0,001221"
"938","0,002744","0,001744"
"939","0,002271","0,001308"
"940","0,002019","0,001119"
"941","0,001935","0,001526"
"942","0,002608","0,001570"
"943","0,002366","0,001221"
"944","0,002176","0,001221"
"945","0,002187","0,001570"
"946","0,002650","0,001657"
"947","0,002019","0,001221"
"948","0,002271","0,001221"
"949","0,002555","0,001603"
"950","0,002195","0,001526"
"951","0,001850","0,001323"
"952","0,002176","0,001297"
"953","0,002498","0,001832"
"954","0,002355","0,001628"
"955","0,001850","0,001343"
"956","0,002271","0,001221"
"957","0,002650","0,001570"
"958","0,001987","0,001709"
"959","0,002082","0,001374"
"960","0,002439","0,002006"
"961","0,002555","0,001221"
"962","0,002082","0,001587"
"963","0,002019","0,001526"
"964","0,002692","0,001657"
"965","0,002271","0,001832"
"966","0,001850","0,001297"
"967","0,002439","0,001603"
"968","0,002422","0,001679"
"969","0,001893","0,001570"
"970","0,002103","0,001308"
"971","0,002608","0,001679"
"972","0,002355","0,001526"
"973","0,002523","0,001323"
"974","0,002176","0,001492"
"975","0,002608","0,001832"
"976","0,001935","0,001730"
"977","0,001850","0,001297"
